People,Food,Event,Activity,Travel,Transportation,Utility,Cash,Illegal/Sarcasm
,foood,,jerseyyy,,,,,
,curry,,cleanup,,,,,
,munchies,,drinko,,,,,
,bacon,,study,,,,,
,joe,,parking,,,,,
,pregame,,rave,,,,,
,chef,,,,,,,
,hangover,,,,,,,
,indian,,,,,,,
,dim,,,,,,,
,korean,,,,,,,
,kbbq,,,,,,,
,dinna,,,,,,,
,mexican,,,,,,,
,margs,,,,,,,
,noms,,,,,,,
,keg,,,,,,,
,jimmy,,,,,,,
,john,,,,,,,
,shot,,,,,,,
,jell,,,,,,,
,in n out,,,,,,,
,turkey,,,,,,,
,greek,,,,,,,
,shake,,,,,,,
,footlong,,,,,,,
,groceries,,,,,,,
,dunkin,,,,,,,
,iced,,,,,,,
,gaterode ,,,,,,,
,foot long ,,,,,,,
,subway,,,,,,,
,nom,,,,,,,
,apple,,,,,,,
,dip,,,,,,,
,publix,,,,,,,
,za,,,,,,,
,gummy,,,,,,,
,bell,,,,,,,
,mickey,,,,,,,
,cold,,,,,,,
,cup,,,,,,,
,cvs,,,,,,,
,duck,,,,,,,
,fresh,,,,,,,
,fud,,,,,,,
,garden,,,,,,,
,glass,,,,,,,
,kitchen,,,,,,,
,liquid,,,,,,,
,sangria,,,,,,,
,shack,,,,,,,
,avocado,,,,,,,
,stick,,,,,,,
,sum ,,,,,,,
,target,,,,,,,
,gelato,,,,,,,
,toast,,,,,,,
,fruit,,,,,,,
,starbs,,,,,,,
,fooooooood,,,,,,,
,hungry,,,,,,,
,popcorn,,,,,,,
,shrimp,,,,,,,
,cook,,,,,,,
,yogurt,,,,,,,
,lobster,,,,,,,
,quesadilla,,,,,,,
,cider,,,,,,,
,pretzel,,,,,,,
,patty,,,,,,,
,beerz,,,,,,,
,mcdonalds,,,,,,,
,gyro,,,,,,,
,fireball,,,,,,,
,pita,,,,,,,
,meatball,,,,,,,
,muffin,,,,,,,
,salmon,,,,,,,
,cerveza,,,,,,,
,mule,,,,,,,
,corona,,,,,,,
,ginger,,,,,,,
,corn,,,,,,,
,crawfish,,,,,,,
,buffet,,,,,,,
,kunjip,,,,,,,
,maki,,,,,,,
,oysters,,,,,,,
,jollibee,,,,,,,
,hotpot,,,,,,,
,dimsum,,,,,,,
,milktea,,,,,,,
,seafood,,,,,,,
,KFC,,,,,,,
,hmart,,,,,,,
,spinach,,,,,,,
,hall,,,,,,,
,spaghetti,,,,,,,
,pumpkin,,,,,,,
,claw,,,,,,,
,charcuterie,,,,,,,
,dosa,,,,,,,
,vegan,,,,,,,
,prosecco,,,,,,,
,veg,,,,,,,
,takeout,,,,,,,
,beer,,,,,,,
,Tan-cha,,,,,,,
,pho,,,,,,,
